user,gender,age,occupation,zip_code,categories,n_interactions,all_categories
5674,M,25,18,57706,1	3	,0.0,1	3
3630,F,50,5,60181,18	8	,59.0,18	8
3693,M,18,4,53706,1	6	,57.0,1	6
3729,F,25,1,02143,18	5	,56.0,18	5
4220,M,18,4,53703,1	6	,43.0,1	6
5126,M,25,14,95008,1	12	,27.0,1	12
4753,F,45,0,55122,18	2	,32.0,18	2
1234,M,18,4,53706,1	6	,205.0,1	6
4434,M,35,14,94530,1	12	,37.0,1	12
1663,F,1,10,01748,18	11	,159.0,18	11
3026,M,35,7,55413,1	0	,79.0,1	0
5334,M,18,4,15321,1	6	,24.0,1	6
2142,F,45,1,98029,18	5	,124.0,18	5
5127,F,45,0,98103,18	2	,27.0,18	2
4221,M,56,1,49327,1	5	,42.0,1	5
3043,F,25,0,60640,18	2	,78.0,18	2
2326,M,25,17,48380,1	4	,113.0,1	4
3151,F,25,2,94609,18	20	,74.0,18	20
5421,M,18,4,53140,1	6	,23.0,1	6
5333,M,18,4,94945,1	6	,24.0,1	6
4137,F,1,10,54467,18	11	,44.0,18	11
5004,M,25,14,48360,1	12	,29.0,1	12
3600,F,45,1,02476,18	5	,60.0,18	5
6010,F,56,9,85749,18	7	,0.0,18	7
1248,M,56,13,85749,1	14	,204.0,1	14
4263,M,35,7,07650,1	0	,42.0,1	0
1038,F,18,4,44243,18	6	,238.0,18	6
1885,M,25,17,95825,1	4	,142.0,1	4
5675,M,25,17,28601,1	4	,0.0,1	4
2880,M,45,0,98201,1	2	,86.0,1	2
3218,F,25,16,78028,18	22	,72.0,18	22
1760,F,35,3,66210,18	15	,151.0,18	15
5893,F,35,7,33547,18	0	,0.0,18	0
3148,F,1,10,19390,18	11	,74.0,18	11
3731,M,35,17,95401,1	4	,56.0,1	4
2493,F,18,3,33314,18	15	,104.0,18	15
3017,M,35,19,20871,1	13	,79.0,1	13
2464,M,45,7,92104,1	0	,105.0,1	0
4648,M,25,12,00926,1	19	,34.0,1	19
3694,M,45,12,90277,1	19	,57.0,1	19
4162,F,35,11,79101,18	16	,44.0,18	16
2243,M,45,18,63129,1	3	,117.0,1	3
5202,M,25,12,30316,1	19	,26.0,1	19
3064,M,45,15,92028,1	17	,77.0,1	17
3656,M,25,2,90803,1	20	,58.0,1	20
2889,M,35,15,55416,1	17	,85.0,1	17
3793,M,25,16,97209,1	22	,54.0,1	22
3753,M,18,12,37032,1	19	,55.0,1	19
2886,F,25,2,83712,18	20	,85.0,18	20
4771,M,25,17,28083,1	4	,31.0,1	4
3128,M,25,17,55744,1	4	,75.0,1	4
370,M,25,17,33314,1	4	,407.0,1	4
1171,M,35,17,22315,1	4	,213.0,1	4
2726,F,1,10,77515,18	11	,93.0,18	11
3797,M,25,11,27106,1	16	,54.0,1	16
3383,M,35,7,75229,1	0	,67.0,1	0
4575,F,18,4,94305,18	6	,35.0,18	6
206,M,35,9,67208,1	7	,530.0,1	7
5503,M,56,7,91356,1	0	,0.0,1	0
3334,M,45,14,01701,1	12	,68.0,1	12
4375,M,18,9,98117,1	7	,39.0,1	7
1638,F,45,3,01770,18	15	,162.0,18	15
5639,M,56,6,37922,1	9	,0.0,1	9
1833,M,25,11,20164,1	16	,146.0,1	16
2176,M,35,17,50021,1	4	,121.0,1	4
1090,M,18,4,06520,1	6	,230.0,1	6
2991,M,25,17,99709,1	4	,80.0,1	4
1844,F,25,0,55071,18	2	,145.0,18	2
2644,M,25,0,66212,1	2	,96.0,1	2
3952,M,18,4,20006,1	6	,49.0,1	6
1003,M,18,2,21202,1	20	,245.0,1	20
1358,F,45,6,78758,18	9	,192.0,18	9
3520,M,18,20,22203,1	21	,62.0,1	21
1135,F,25,20,45409,18	21	,220.0,18	21
4072,F,35,1,55107,18	5	,46.0,18	5
5687,M,35,13,62035,1	14	,0.0,1	14
4544,M,25,7,10011,1	0	,35.0,1	0
3711,M,18,3,64043,1	15	,56.0,1	15
5422,M,25,17,29401,1	4	,23.0,1	4
5213,M,18,4,19081,1	6	,25.0,1	6
481,F,35,20,10954,18	21	,368.0,18	21
1705,M,18,4,91360,1	6	,156.0,1	6
171,M,50,17,57747,1	4	,564.0,1	4
189,M,25,1,29205,1	5	,546.0,1	5
1124,M,35,7,98144,1	0	,221.0,1	0
365,F,25,20,85013,18	21	,409.0,18	21
5588,M,18,4,48104,1	6	,0.0,1	6
5591,M,1,10,51537,1	11	,0.0,1	11
4909,M,50,20,94530,1	21	,30.0,1	21
3754,M,35,12,07470,1	19	,55.0,1	19
1845,F,45,7,14519,18	0	,145.0,18	0
372,M,35,16,12866,1	22	,406.0,1	22
5755,M,56,7,28754,1	0	,0.0,1	0
4746,F,45,0,37922,18	2	,32.0,18	2
5758,M,35,7,13021,1	0	,0.0,1	0
747,M,45,16,98107-2117,1	22	,292.0,1	22
2608,F,18,4,93117,18	6	,98.0,18	6
1357,M,18,4,85013,1	6	,192.0,1	6
5282,F,56,13,94566,18	14	,25.0,18	14
2526,M,18,16,98502,1	22	,102.0,1	22
474,M,18,4,92802,1	6	,370.0,1	6
4349,F,25,11,10022,18	16	,39.0,18	16
5576,F,50,0,46970,18	2	,0.0,18	2
293,M,25,7,55439,1	0	,461.0,1	0
3098,M,25,11,07002,1	16	,76.0,1	16
5408,F,50,17,55441,18	4	,23.0,18	4
5589,M,25,3,07661,1	15	,0.0,1	15
210,M,25,0,45237,1	2	,524.0,1	2
2850,M,25,16,21203,1	22	,87.0,1	22
806,F,25,2,95123,18	20	,280.0,18	20
3367,F,18,3,55016,18	15	,67.0,18	15
4340,M,50,1,54016,1	5	,40.0,1	5
2432,M,56,17,53705,1	4	,107.0,1	4
3307,M,25,0,02135,1	2	,69.0,1	2
3786,M,45,12,01603,1	19	,54.0,1	19
975,M,18,17,33186,1	4	,249.0,1	4
3314,M,18,4,03052,1	6	,69.0,1	6
2817,F,45,1,55407,18	5	,88.0,18	5
3110,F,25,0,19001,18	2	,76.0,18	2
4022,M,45,0,14468,1	2	,47.0,1	2
2236,M,18,5,91767,1	8	,117.0,1	8
377,F,45,1,94061,18	5	,405.0,18	5
3872,M,56,16,79930,1	22	,51.0,1	22
5207,M,18,0,60076,1	2	,26.0,1	2
2082,M,25,17,55125,1	4	,128.0,1	4
5453,M,18,4,04915,1	6	,0.0,1	6
498,M,18,1,10977,1	5	,362.0,1	5
1123,F,45,15,44106,18	17	,222.0,18	17
3795,F,1,10,29146,18	11	,54.0,18	11
56,M,25,12,10458,1	19	,741.0,1	19
4835,F,35,9,94587,18	7	,31.0,18	7
5757,M,18,14,10023,1	12	,0.0,1	12
588,M,25,12,55108,1	19	,334.0,1	19
675,M,18,4,83706,1	6	,309.0,1	6
5840,F,18,4,84321,18	6	,0.0,18	6
2984,F,35,2,55117,18	20	,81.0,18	20
233,M,18,4,53706,1	6	,500.0,1	6
4133,F,18,4,53715,18	6	,44.0,18	6
414,M,25,7,92123,1	0	,391.0,1	0
1966,M,35,12,97333,1	19	,136.0,1	19
5928,M,25,17,20194,1	4	,0.0,1	4
5769,M,25,12,94115,1	19	,0.0,1	19
1743,M,35,17,55432,1	4	,152.0,1	4
5770,M,35,1,90048,1	5	,0.0,1	5
2852,F,1,10,25801,18	11	,87.0,18	11
4972,M,45,17,90620,1	4	,29.0,1	4
2502,M,25,16,53714,1	22	,103.0,1	22
5573,F,18,4,01609,18	6	,0.0,18	6
2322,M,18,20,80218,1	21	,113.0,1	21
4839,M,35,14,92075,1	12	,31.0,1	12
144,M,45,13,52761,1	14	,600.0,1	14
5911,M,18,4,22903,1	6	,0.0,1	6
3787,M,35,14,95822,1	12	,54.0,1	12
4836,F,25,4,55113,18	6	,31.0,18	6
2660,M,25,12,22903,1	19	,96.0,1	19
5637,F,25,0,94063,18	2	,0.0,18	2
3183,M,25,1,55116,1	5	,73.0,1	5
1262,M,25,17,28262,1	4	,203.0,1	4
1684,F,18,4,14850,18	6	,158.0,18	6
396,M,25,7,11215,1	0	,399.0,1	0
5915,M,35,1,94518,1	5	,0.0,1	5
5595,M,35,20,90291,1	21	,0.0,1	21
5161,M,25,15,55455,1	17	,26.0,1	17
1575,M,18,10,04576,1	11	,168.0,1	11
1539,M,45,1,43210,1	5	,171.0,1	5
2881,M,25,3,55455,1	15	,85.0,1	15
3211,M,25,20,55408,1	21	,72.0,1	21
3927,F,45,20,37919-4204,18	21	,50.0,18	21
5117,M,35,7,39652,1	0	,27.0,1	0
368,M,25,0,98153,1	2	,407.0,1	2
3874,M,25,5,55126,1	8	,51.0,1	8
2039,M,25,6,46835,1	9	,131.0,1	9
1002,F,50,7,90291,18	0	,245.0,18	0
3463,M,18,19,94618,1	13	,64.0,1	13
2201,M,50,17,55113,1	4	,120.0,1	4
3945,M,35,20,55121,1	21	,49.0,1	21
1293,F,18,4,53706,18	6	,199.0,18	6
5151,M,25,16,11576,1	22	,26.0,1	22
3012,M,50,7,19072,1	0	,79.0,1	0
301,M,35,16,66046,1	22	,450.0,1	22
5125,F,18,4,60625,18	6	,27.0,18	6
5005,M,25,17,94404,1	4	,29.0,1	4
4709,M,18,17,72703,1	4	,32.0,1	4
2654,F,18,14,48126,18	12	,96.0,18	12
5771,M,35,16,11229,1	22	,0.0,1	22
3427,M,56,17,55105,1	4	,65.0,1	4
3724,M,25,12,94112,1	19	,56.0,1	19
3994,F,25,11,97370,18	16	,48.0,18	16
5545,M,35,17,49015,1	4	,0.0,1	4
1042,M,35,0,85310,1	2	,237.0,1	2
2888,M,45,16,55076,1	22	,85.0,1	22
3995,M,18,18,55113,1	3	,48.0,1	3
2158,M,25,7,55436,1	0	,123.0,1	0
2052,M,25,1,60615,1	5	,130.0,1	5
2224,M,18,19,98126,1	13	,118.0,1	13
732,M,25,20,75801,1	21	,296.0,1	21
2922,F,25,1,68503,18	5	,83.0,18	5
3116,F,25,7,22304,18	0	,76.0,18	0
642,M,35,0,20755,1	2	,317.0,1	2
2785,F,35,7,55116,18	0	,90.0,18	0
3996,M,35,11,75229,1	16	,48.0,1	16
2433,M,45,12,55001,1	19	,107.0,1	19
1231,F,18,12,29708,18	19	,206.0,18	19
5303,M,25,2,55408,1	20	,24.0,1	20
2219,M,50,14,55414,1	12	,119.0,1	12
768,M,18,4,48202,1	6	,288.0,1	6
417,M,18,0,80302,1	2	,389.0,1	2
1566,M,18,4,55427,1	6	,168.0,1	6
1920,M,18,4,55455,1	6	,140.0,1	6
2989,M,25,0,48162,1	2	,80.0,1	2
5838,M,45,16,01982,1	22	,0.0,1	22
5740,F,35,1,98126,18	5	,0.0,18	5
1422,M,45,18,60482,1	3	,186.0,1	3
5116,M,25,14,91214,1	12	,27.0,1	12
4149,M,50,7,19118,1	0	,44.0,1	0
2624,F,35,0,94117,18	2	,97.0,18	2
5270,M,25,17,94401,1	4	,25.0,1	4
5154,M,25,0,10003,1	2	,26.0,1	2
716,M,25,12,91910,1	19	,299.0,1	19
2005,F,35,0,94109,18	2	,133.0,18	2
4482,M,25,1,54601,1	5	,37.0,1	5
2599,M,50,13,94706,1	14	,98.0,1	14
3788,F,25,12,97119,18	19	,54.0,18	19
3320,F,25,0,11801,18	2	,68.0,18	2
5372,F,25,20,94591,18	21	,23.0,18	21
2597,M,35,12,55110,1	19	,98.0,1	19
4638,M,35,7,19406,1	0	,34.0,1	0
1144,M,56,1,55337-4056,1	5	,218.0,1	5
4472,F,45,9,43147,18	7	,37.0,18	7
1649,M,18,0,80203,1	2	,160.0,1	2
3285,M,50,5,89432,1	8	,69.0,1	8
2920,M,18,2,97211,1	20	,83.0,1	20
5302,F,18,4,19010,18	6	,24.0,18	6
2636,M,25,12,97370,1	19	,97.0,1	19
1074,M,25,7,78664,1	0	,232.0,1	0
731,M,18,4,61820,1	6	,296.0,1	6
273,M,18,4,04901,1	6	,471.0,1	6
1479,M,25,7,20006,1	0	,179.0,1	0
5543,M,25,0,55414,1	2	,0.0,1	2
3164,F,18,0,55414,18	2	,74.0,18	2
1439,M,18,0,53051,1	2	,184.0,1	2
1533,M,50,16,90027,1	22	,172.0,1	22
275,M,25,2,10025,1	20	,471.0,1	20
2211,M,25,4,16801,1	6	,119.0,1	6
1593,F,18,4,31207,18	6	,166.0,18	6
5860,M,18,4,31201,1	6	,0.0,1	6
3761,F,50,2,22207,18	20	,55.0,18	20
5326,F,18,4,02138,18	6	,24.0,18	6
1001,F,56,9,46911,18	7	,245.0,18	7
5815,F,56,1,55105,18	5	,0.0,18	5
3161,M,56,13,90740,1	14	,74.0,1	14
5834,M,35,7,38555,1	0	,0.0,1	0
5777,F,56,13,55104,18	14	,0.0,18	14
156,F,50,6,33436,18	9	,581.0,18	9
5717,M,35,6,99516,1	9	,0.0,1	9
1666,M,18,4,55128,1	6	,159.0,1	6
4458,M,56,17,55117,1	4	,37.0,1	4
2679,M,45,12,53716,1	19	,95.0,1	19
3696,M,35,17,55106,1	4	,57.0,1	4
4459,F,50,3,55112,18	15	,37.0,18	15
628,M,50,11,25302,1	16	,319.0,1	16
1208,M,35,18,55448,1	3	,209.0,1	3
4196,M,35,12,80401,1	19	,43.0,1	19
315,M,35,7,02115,1	0	,442.0,1	0
3243,M,56,7,92065,1	0	,71.0,1	0
225,M,25,7,55902,1	0	,509.0,1	0
3544,M,50,1,55109,1	5	,61.0,1	5
1519,M,35,2,55410,1	20	,174.0,1	20
3763,F,56,2,55113,18	20	,55.0,18	20
3499,M,35,18,55434,1	3	,63.0,1	3
2623,M,18,0,98765,1	2	,97.0,1	2
1643,M,18,19,80205,1	13	,161.0,1	13
660,M,35,7,55116,1	0	,312.0,1	0
2212,M,50,7,80207,1	0	,119.0,1	0
2707,F,25,3,28001,18	15	,94.0,18	15
5776,F,56,13,92119,18	14	,0.0,18	14
2357,M,18,12,55076,1	19	,111.0,1	19
845,F,35,3,55127,18	15	,273.0,18	15
3735,M,35,14,75034,1	12	,56.0,1	12
5356,M,25,12,94114,1	19	,23.0,1	19
846,F,25,0,55110,18	2	,273.0,18	2
2821,F,56,1,55305,18	5	,88.0,18	5
2820,M,50,7,55110,1	0	,88.0,1	0
1224,M,1,10,08035,1	11	,207.0,1	11
3639,M,45,20,08035,1	21	,58.0,1	21
2907,M,18,4,55105,1	6	,84.0,1	6
69,M,18,4,60115,1	6	,718.0,1	6
5564,F,35,7,92625,18	0	,0.0,18	0
4115,M,35,1,55117,1	5	,45.0,1	5
557,M,18,3,55107,1	15	,342.0,1	15
5661,M,56,20,55101,1	21	,0.0,1	21
4584,M,18,0,98103,1	2	,35.0,1	2
3434,F,56,1,20815,18	5	,65.0,18	5
4146,M,25,17,55128,1	4	,44.0,1	4
3547,M,35,17,28208,1	4	,61.0,1	4
5716,F,25,14,94115,18	12	,0.0,18	12
4283,M,35,20,55407,1	21	,41.0,1	21
4539,M,18,10,55419,1	11	,36.0,1	11
5775,F,35,1,46815,18	5	,0.0,18	5
4464,F,18,4,02138,18	6	,37.0,18	6
1016,M,50,15,55126,1	17	,243.0,1	17
5091,M,50,12,55421,1	19	,27.0,1	19
743,M,25,0,90293,1	2	,292.0,1	2
3428,M,35,1,55110,1	5	,65.0,1	5
3780,M,18,17,22304,1	4	,54.0,1	4
3597,M,18,4,02141,1	6	,60.0,1	6
1634,F,18,4,72227,18	6	,162.0,18	6
5242,F,25,2,55347,18	20	,25.0,18	20
3905,F,35,14,55346,18	12	,50.0,18	12
4000,M,25,2,55106,1	20	,48.0,1	20
2372,M,35,1,80026,1	5	,110.0,1	5
2113,M,25,17,55418,1	4	,126.0,1	4
5090,F,18,0,55105,18	2	,27.0,18	2
3677,F,35,1,54822,18	5	,57.0,18	5
2337,M,25,2,92024,1	20	,113.0,1	20
4848,M,35,17,89015,1	4	,31.0,1	4
4002,F,35,20,66205,18	21	,48.0,18	21
5876,F,25,7,78757,18	0	,0.0,18	0
5888,M,25,11,55075,1	16	,0.0,1	16
2166,M,25,6,68131,1	9	,123.0,1	9
1325,M,25,0,55408,1	2	,196.0,1	2
3556,F,35,7,55111,18	0	,61.0,18	0
3777,F,25,0,10021,18	2	,54.0,18	2
3679,M,25,6,68128,1	9	,57.0,1	9
1459,M,25,4,55405,1	6	,182.0,1	6
3399,M,45,11,22122,1	16	,66.0,1	16
398,M,18,7,20037,1	0	,398.0,1	0
3429,M,35,17,55402,1	4	,65.0,1	4
4590,M,18,0,55013,1	2	,35.0,1	2
5878,M,18,5,55104,1	8	,0.0,1	8
1852,M,25,1,56187,1	5	,145.0,1	5
4860,M,35,17,22124,1	4	,31.0,1	4
1273,M,25,17,55454,1	4	,201.0,1	4
4921,F,35,6,55128,18	9	,30.0,18	9
4592,F,18,3,55422,18	15	,35.0,18	15
3229,M,18,0,55129,1	2	,71.0,1	2
988,M,25,11,55427,1	16	,247.0,1	16
972,M,18,4,02138,1	6	,249.0,1	6
4086,M,18,4,10128,1	6	,45.0,1	6
4174,M,56,1,13077,1	5	,43.0,1	5
2234,M,25,20,55105,1	21	,117.0,1	21
5328,M,18,17,89503,1	4	,24.0,1	4
1851,M,25,11,02143,1	16	,145.0,1	16
784,M,18,12,55122,1	19	,284.0,1	19
2750,F,25,1,55417,18	5	,92.0,18	5
228,F,45,1,43214,18	5	,501.0,18	5
288,M,35,15,55117,1	17	,464.0,1	17
2651,M,25,11,55409,1	16	,96.0,1	16
4378,M,25,0,55317,1	2	,39.0,1	2
904,F,35,0,55406,18	2	,261.0,18	2
3817,M,45,14,55076,1	12	,53.0,1	12
5516,F,25,0,50613,18	2	,0.0,18	2
4273,F,25,3,54016,18	15	,41.0,18	15
2634,M,18,3,55422,1	15	,97.0,1	15
3517,M,35,1,55406,1	5	,62.0,1	5
5825,F,45,3,55125,18	15	,0.0,18	15
4593,M,56,17,55104,1	4	,35.0,1	4
5225,M,18,4,55455,1	6	,25.0,1	6
9,M,25,17,55112,1	4	,1104.0,1	4
1547,M,25,12,55303,1	19	,171.0,1	19
1245,M,18,4,55455,1	6	,205.0,1	6
5182,M,35,12,55104,1	19	,26.0,1	19
4326,F,18,4,55455,18	6	,40.0,18	6
863,M,18,0,54901,1	2	,269.0,1	2
3858,F,18,10,55306,18	11	,52.0,18	11
3379,M,18,10,55303,1	11	,67.0,1	11
4219,M,45,16,55306,1	22	,43.0,1	22
4683,M,50,6,55115,1	9	,33.0,1	9
4328,F,45,3,98155,18	15	,40.0,18	15
2193,M,25,7,55125,1	0	,120.0,1	0
2342,M,18,4,43023,1	6	,113.0,1	6
3895,M,35,17,55030,1	4	,50.0,1	4
226,M,18,11,53705,1	16	,503.0,1	16
2929,M,35,14,55129,1	12	,83.0,1	12
5376,M,56,1,32940,1	5	,23.0,1	5
4259,M,35,1,55127,1	5	,42.0,1	5
473,M,25,1,55105,1	5	,371.0,1	5
5012,M,25,3,55421,1	15	,28.0,1	15
2242,M,56,0,55108,1	2	,117.0,1	2
1145,M,45,12,55117,1	19	,218.0,1	19
3933,F,50,0,55042,18	2	,49.0,18	2
4596,F,45,11,55105,18	16	,35.0,18	16
5869,M,25,17,80123,1	4	,0.0,1	4
4258,M,25,7,85037,1	0	,42.0,1	0
3971,M,45,1,24523,1	5	,48.0,1	5
1221,M,56,13,54720,1	14	,207.0,1	14
2100,M,50,17,55117,1	4	,127.0,1	4
561,M,18,4,55102,1	6	,341.0,1	6
1567,M,25,20,55092,1	21	,168.0,1	21
5385,F,35,2,55113,18	20	,23.0,18	20
2013,M,35,0,55105,1	2	,133.0,1	2
1180,M,18,4,54703,1	6	,212.0,1	6
4535,M,50,16,55405-2546,1	22	,36.0,1	22
5109,F,18,4,55105,18	6	,27.0,18	6
4597,M,45,18,55313,1	3	,35.0,1	3
470,M,50,7,55075,1	0	,371.0,1	0
1686,M,18,16,55416,1	22	,157.0,1	22
3072,M,25,7,55105,1	0	,77.0,1	0
3380,F,18,4,55455,18	6	,67.0,18	6
4953,M,18,19,94523,1	13	,29.0,1	13
1338,M,25,5,55405,1	8	,194.0,1	8
4015,F,35,3,55075,18	15	,47.0,18	15
5619,F,1,10,55082,18	11	,0.0,18	11
4047,M,35,6,55122,1	9	,46.0,1	9
3776,F,1,10,55068,18	11	,54.0,18	11
3000,M,35,7,08904,1	0	,80.0,1	0
4411,M,35,0,55418,1	2	,38.0,1	2
4209,F,18,4,55112,18	6	,43.0,18	6
1032,M,25,17,92126,1	4	,239.0,1	4
1132,F,25,2,55421,18	20	,220.0,18	20
413,M,35,0,55127,1	2	,392.0,1	2
1283,M,35,14,55410,1	12	,200.0,1	12
4230,M,50,16,55113,1	22	,42.0,1	22
2898,M,25,12,55042,1	19	,84.0,1	19
2842,F,18,4,55422,18	6	,87.0,18	6
1541,M,45,7,55115,1	0	,171.0,1	0
124,M,25,14,55305,1	12	,633.0,1	12
5870,M,18,12,55105,1	19	,0.0,1	19
5034,F,1,10,55104,18	11	,28.0,18	11
4200,M,56,7,55042,1	0	,43.0,1	0
4625,M,56,0,91367,1	2	,34.0,1	2
4447,F,35,17,55082,18	4	,37.0,18	4
5487,M,25,12,55107,1	19	,0.0,1	19
5946,M,18,4,55455,1	6	,0.0,1	6
3554,M,1,10,55345,1	11	,61.0,1	11
5690,M,18,4,56043,1	6	,0.0,1	6
5074,M,25,12,55112,1	19	,28.0,1	19
1905,M,50,7,55016,1	0	,141.0,1	0
1450,F,35,0,17870,18	2	,183.0,18	2
4408,M,18,10,55421,1	11	,38.0,1	11
2379,M,18,4,55455,1	6	,110.0,1	6
5611,F,25,17,55412,18	4	,0.0,18	4
1620,M,35,17,55113,1	4	,163.0,1	4
1389,F,25,1,55108,18	5	,189.0,18	5
3054,F,18,2,55105,18	20	,78.0,18	20
4175,M,25,2,55372,1	20	,43.0,1	20
5612,M,35,6,55126,1	9	,0.0,1	9
5198,M,35,11,73120,1	16	,26.0,1	16
2764,M,25,2,17003,1	20	,91.0,1	20
2350,M,35,17,37815,1	4	,112.0,1	4
3084,M,25,16,55103-1006,1	22	,77.0,1	22
4416,F,25,0,55405,18	2	,38.0,18	2
2291,M,25,12,55418,1	19	,115.0,1	19
148,M,25,2,55125,1	20	,589.0,1	20
2933,M,18,12,55109,1	19	,83.0,1	19
5341,F,45,4,15232,18	6	,24.0,18	6
4858,M,35,0,55379,1	2	,31.0,1	2
2292,M,25,0,55119,1	2	,115.0,1	2
3192,M,25,2,55113,1	20	,73.0,1	20
1748,M,25,1,55406,1	5	,152.0,1	5
1291,F,56,14,55033,18	12	,199.0,18	12
1707,F,25,14,55408,18	12	,156.0,18	12
989,F,35,12,75240,18	19	,247.0,18	19
4540,F,35,14,55038,18	12	,36.0,18	12
769,F,35,20,55104,18	21	,288.0,18	21
4463,M,56,7,55105,1	0	,37.0,1	0
3947,M,25,12,55124,1	19	,49.0,1	19
2687,M,50,7,55105,1	0	,95.0,1	0
32,M,18,0,91320,1	2	,831.0,1	2
4471,M,35,6,19027,1	9	,37.0,1	9
3734,M,45,17,94806,1	4	,56.0,1	4
5506,F,25,2,11201,18	20	,0.0,18	20
290,F,18,17,83843,18	4	,463.0,18	4
2314,M,35,12,92009,1	19	,114.0,1	19
2669,M,25,2,10019,1	20	,95.0,1	20
101,F,18,14,22206,18	12	,656.0,18	12
4579,M,25,7,94301,1	0	,35.0,1	0
322,M,25,12,27514,1	19	,436.0,1	19
2870,M,25,15,55902,1	17	,86.0,1	17
5919,M,35,6,95370,1	9	,0.0,1	9
1440,M,25,20,01267,1	21	,184.0,1	21
2717,M,45,14,07704,1	12	,93.0,1	12
4052,M,56,16,95407,1	22	,46.0,1	22
2109,M,25,2,55103,1	20	,126.0,1	20
5342,M,18,1,15213,1	5	,24.0,1	5
2049,F,18,4,5849574,18	6	,130.0,18	6
4882,M,18,4,78705,1	6	,31.0,1	6
126,M,25,5,55057,1	8	,629.0,1	8
3465,M,35,12,94538,1	19	,64.0,1	19
5335,M,35,17,01890,1	4	,24.0,1	4
1701,F,25,0,37211,18	2	,156.0,18	2
3301,M,35,12,76109,1	19	,69.0,1	19
3075,F,35,16,96860,18	22	,77.0,18	22
21,M,25,6,53217,1	9	,954.0,1	9
33,M,45,8,21559,1	10	,831.0,1	10
1174,M,35,20,55116,1	21	,213.0,1	21
2823,M,50,18,23456,1	3	,88.0,1	3
3680,M,25,2,94131,1	20	,57.0,1	20
4619,M,25,12,94086,1	19	,34.0,1	19
4618,M,18,4,53213,1	6	,34.0,1	6
1423,F,25,9,37221,18	7	,186.0,18	7
3778,M,56,1,30030,1	5	,54.0,1	5
933,M,35,20,55108,1	21	,257.0,1	21
6018,F,25,7,60422,18	0	,0.0,18	0
