user,gender,age,occupation,zipcode
301,M,35,16,66046
5125,F,18,4,60625
5005,M,25,17,94404
4709,M,18,17,72703
2654,F,18,14,48126
5771,M,35,16,11229
3427,M,56,17,55105
3724,M,25,12,94112
3994,F,25,11,97370
5545,M,35,17,49015
1042,M,35,0,85310
2888,M,45,16,55076
3995,M,18,18,55113
2158,M,25,7,55436
2052,M,25,1,60615
2224,M,18,19,98126
732,M,25,20,75801
2922,F,25,1,68503
3116,F,25,7,22304
642,M,35,0,20755
2785,F,35,7,55116
3996,M,35,11,75229
2433,M,45,12,55001
1231,F,18,12,29708
5303,M,25,2,55408
2219,M,50,14,55414
768,M,18,4,48202
417,M,18,0,80302
1566,M,18,4,55427
1920,M,18,4,55455
2989,M,25,0,48162
5838,M,45,16,01982
5740,F,35,1,98126
1422,M,45,18,60482
5116,M,25,14,91214
4149,M,50,7,19118
2624,F,35,0,94117
5270,M,25,17,94401
5154,M,25,0,10003
716,M,25,12,91910
2005,F,35,0,94109
4482,M,25,1,54601
2599,M,50,13,94706
3788,F,25,12,97119
3320,F,25,0,11801
5372,F,25,20,94591
2597,M,35,12,55110
4638,M,35,7,19406
1144,M,56,1,55337-4056
4472,F,45,9,43147
1649,M,18,0,80203
3285,M,50,5,89432
2920,M,18,2,97211
5302,F,18,4,19010
2636,M,25,12,97370
1074,M,25,7,78664
731,M,18,4,61820
273,M,18,4,04901
1479,M,25,7,20006
5543,M,25,0,55414
3164,F,18,0,55414
1439,M,18,0,53051
1533,M,50,16,90027
275,M,25,2,10025
2211,M,25,4,16801
1593,F,18,4,31207
5860,M,18,4,31201
3761,F,50,2,22207
5326,F,18,4,02138
1001,F,56,9,46911
5815,F,56,1,55105
3161,M,56,13,90740
5834,M,35,7,38555
5777,F,56,13,55104
156,F,50,6,33436
5717,M,35,6,99516
1666,M,18,4,55128
4458,M,56,17,55117
2679,M,45,12,53716
3696,M,35,17,55106
4459,F,50,3,55112
628,M,50,11,25302
1208,M,35,18,55448
4196,M,35,12,80401
315,M,35,7,02115
3243,M,56,7,92065
225,M,25,7,55902
3544,M,50,1,55109
1519,M,35,2,55410
3763,F,56,2,55113
3499,M,35,18,55434
2623,M,18,0,98765
1643,M,18,19,80205
660,M,35,7,55116
2212,M,50,7,80207
2707,F,25,3,28001
5776,F,56,13,92119
2357,M,18,12,55076
845,F,35,3,55127
3735,M,35,14,75034
5356,M,25,12,94114
846,F,25,0,55110
2821,F,56,1,55305
2820,M,50,7,55110
1224,M,1,10,08035
3639,M,45,20,08035
2907,M,18,4,55105
69,M,18,4,60115
5564,F,35,7,92625
4115,M,35,1,55117
557,M,18,3,55107
5661,M,56,20,55101
4584,M,18,0,98103
3434,F,56,1,20815
4146,M,25,17,55128
3547,M,35,17,28208
5716,F,25,14,94115
4283,M,35,20,55407
4539,M,18,10,55419
5775,F,35,1,46815
4464,F,18,4,02138
1016,M,50,15,55126
5091,M,50,12,55421
743,M,25,0,90293
3428,M,35,1,55110
3780,M,18,17,22304
3597,M,18,4,02141
1634,F,18,4,72227
5242,F,25,2,55347
3905,F,35,14,55346
4000,M,25,2,55106
2372,M,35,1,80026
2113,M,25,17,55418
5090,F,18,0,55105
3677,F,35,1,54822
2337,M,25,2,92024
4848,M,35,17,89015
4002,F,35,20,66205
5876,F,25,7,78757
5888,M,25,11,55075
2166,M,25,6,68131
1325,M,25,0,55408
3556,F,35,7,55111
3777,F,25,0,10021
3679,M,25,6,68128
1459,M,25,4,55405
3399,M,45,11,22122
398,M,18,7,20037
3429,M,35,17,55402
4590,M,18,0,55013
5878,M,18,5,55104
1852,M,25,1,56187
4860,M,35,17,22124
1273,M,25,17,55454
4921,F,35,6,55128
4592,F,18,3,55422
3229,M,18,0,55129
988,M,25,11,55427
972,M,18,4,02138
4086,M,18,4,10128
4174,M,56,1,13077
2234,M,25,20,55105
5328,M,18,17,89503
1851,M,25,11,02143
784,M,18,12,55122
2750,F,25,1,55417
228,F,45,1,43214
288,M,35,15,55117
2651,M,25,11,55409
4378,M,25,0,55317
904,F,35,0,55406
3817,M,45,14,55076
5516,F,25,0,50613
4273,F,25,3,54016
2634,M,18,3,55422
3517,M,35,1,55406
5825,F,45,3,55125
4593,M,56,17,55104
5225,M,18,4,55455
9,M,25,17,55112
1547,M,25,12,55303
1245,M,18,4,55455
5182,M,35,12,55104
4326,F,18,4,55455
863,M,18,0,54901
3858,F,18,10,55306
3379,M,18,10,55303
4219,M,45,16,55306
4683,M,50,6,55115
4328,F,45,3,98155
2193,M,25,7,55125
2342,M,18,4,43023
3895,M,35,17,55030
226,M,18,11,53705
2929,M,35,14,55129
5376,M,56,1,32940
4259,M,35,1,55127
473,M,25,1,55105
5012,M,25,3,55421
2242,M,56,0,55108
1145,M,45,12,55117
3933,F,50,0,55042
4596,F,45,11,55105
5869,M,25,17,80123
4258,M,25,7,85037
3971,M,45,1,24523
1221,M,56,13,54720
2100,M,50,17,55117
561,M,18,4,55102
1567,M,25,20,55092
5385,F,35,2,55113
2013,M,35,0,55105
1180,M,18,4,54703
4535,M,50,16,55405-2546
5109,F,18,4,55105
4597,M,45,18,55313
470,M,50,7,55075
1686,M,18,16,55416
3072,M,25,7,55105
3380,F,18,4,55455
4953,M,18,19,94523
1338,M,25,5,55405
4015,F,35,3,55075
5619,F,1,10,55082
4047,M,35,6,55122
3776,F,1,10,55068
3000,M,35,7,08904
4411,M,35,0,55418
4209,F,18,4,55112
1032,M,25,17,92126
1132,F,25,2,55421
413,M,35,0,55127
1283,M,35,14,55410
4230,M,50,16,55113
2898,M,25,12,55042
2842,F,18,4,55422
1541,M,45,7,55115
124,M,25,14,55305
5870,M,18,12,55105
5034,F,1,10,55104
4200,M,56,7,55042
4625,M,56,0,91367
4447,F,35,17,55082
5487,M,25,12,55107
5946,M,18,4,55455
3554,M,1,10,55345
5690,M,18,4,56043
5074,M,25,12,55112
1905,M,50,7,55016
1450,F,35,0,17870
4408,M,18,10,55421
2379,M,18,4,55455
5611,F,25,17,55412
1620,M,35,17,55113
1389,F,25,1,55108
3054,F,18,2,55105
4175,M,25,2,55372
5612,M,35,6,55126
5198,M,35,11,73120
2764,M,25,2,17003
2350,M,35,17,37815
3084,M,25,16,55103-1006
4416,F,25,0,55405
2291,M,25,12,55418
148,M,25,2,55125
2933,M,18,12,55109
5341,F,45,4,15232
4858,M,35,0,55379
2292,M,25,0,55119
3192,M,25,2,55113
1748,M,25,1,55406
1291,F,56,14,55033
1707,F,25,14,55408
989,F,35,12,75240
4540,F,35,14,55038
769,F,35,20,55104
4463,M,56,7,55105
3947,M,25,12,55124
2687,M,50,7,55105
32,M,18,0,91320
4471,M,35,6,19027
3734,M,45,17,94806
5506,F,25,2,11201
290,F,18,17,83843
2314,M,35,12,92009
2669,M,25,2,10019
101,F,18,14,22206
4579,M,25,7,94301
322,M,25,12,27514
2870,M,25,15,55902
5919,M,35,6,95370
1440,M,25,20,01267
2717,M,45,14,07704
4052,M,56,16,95407
2109,M,25,2,55103
5342,M,18,1,15213
2049,F,18,4,5849574
4882,M,18,4,78705
126,M,25,5,55057
3465,M,35,12,94538
5335,M,35,17,01890
1701,F,25,0,37211
3301,M,35,12,76109
3075,F,35,16,96860
21,M,25,6,53217
33,M,45,8,21559
1174,M,35,20,55116
2823,M,50,18,23456
3680,M,25,2,94131
4619,M,25,12,94086
4618,M,18,4,53213
1423,F,25,9,37221
3778,M,56,1,30030
933,M,35,20,55108
6018,F,25,7,60422
2150,M,45,15,81335
5020,F,18,14,64060
4809,M,35,20,48083
1217,M,25,4,53703
4285,M,45,1,49419
5672,M,25,16,45242
776,M,25,17,92122
3247,M,35,20,52570-9634
5384,F,50,17,19716
2355,F,18,4,97339
1426,M,25,4,33314
2181,M,50,5,95401
5995,M,18,4,61801
4896,F,35,2,98119
5792,M,25,19,90214
1808,M,25,12,92130
4054,F,45,15,20910
1784,M,35,0,02115
5227,M,18,17,90064
3484,M,25,5,32839
4751,M,1,10,08534
4143,M,50,14,73543
3149,M,18,4,67042
1639,F,25,0,48067
4506,F,25,0,94403
2221,M,18,1,53703
4692,M,35,14,53092
917,M,25,20,92649
338,F,25,11,23220
5337,M,18,2,90210
1724,F,35,6,98032
1582,M,25,0,76201
5485,M,18,0,92103
2697,F,50,1,91711
1840,F,56,13,60076
2673,M,25,7,10019
5238,F,25,1,01950
3760,M,35,12,80206
4929,M,35,7,95476
5236,M,50,6,53711
5698,M,35,17,66209
821,F,18,20,06320
2483,F,56,6,14612
3737,F,25,6,32256
1187,M,45,17,32256
2451,F,18,4,44425
5121,F,1,10,49507
5429,M,25,0,43614
2096,M,18,4,18011
3902,M,25,7,10012
2777,M,25,4,77025
2110,M,35,0,20715
4295,M,50,7,95020
2718,M,35,20,10562
4120,M,35,1,90024
2793,M,50,17,32951
4343,M,25,7,94115
5476,F,25,7,92117
5058,M,25,0,74105
5705,F,18,1,94706
1897,M,18,0,13210
1672,M,18,4,93560
3829,M,25,0,92612
1599,M,25,17,60555
622,M,25,1,75207
4290,F,35,12,44106
3377,M,18,4,77005
5235,M,50,2,97210
3943,F,35,0,20715
1367,F,1,10,48154
2334,F,35,14,80525
819,M,35,17,28601
4908,M,45,17,07649
4610,M,25,17,94131
3540,F,1,10,49512
1572,M,56,17,33785
3002,M,18,20,92055
650,M,35,12,97132
2462,M,25,6,77584
443,M,45,17,85202
5813,M,18,4,47406
2397,F,35,0,55116
5344,F,35,1,78155
4500,M,25,2,23188
3333,M,25,20,93704
4297,M,35,20,11215
1056,M,35,7,08505
1722,M,35,12,85224
1727,F,25,12,94131
3762,M,25,4,80526
4761,M,25,17,49445
381,M,35,7,20895
3001,M,18,20,12222
5700,M,56,13,92660
1687,M,50,7,75023
1029,F,25,2,92629
1623,F,45,16,92106
3721,F,50,13,34691
3195,F,25,0,10021
2556,F,25,0,28134
219,M,45,16,70507
3311,M,45,1,13114
2677,M,18,4,99163
2577,F,25,7,12345
1856,M,35,18,74601
6005,M,18,2,13317
2619,F,18,0,08540
2187,M,25,18,98438
4907,F,25,3,22042
511,M,25,17,30307
3439,M,25,12,30303
2004,M,18,4,61761
4306,M,35,7,46845
944,M,25,20,10023
3237,M,25,17,22042
5001,M,25,20,02048
788,M,18,16,55129
1520,M,50,2,94122
24,M,25,0,34952
3015,M,35,16,29681
5136,M,25,12,37013
4550,M,35,7,30501
3167,M,25,4,27510
5431,M,25,4,27514
4706,M,25,4,27510
2435,M,25,4,27514
5523,M,18,4,27514
949,F,25,7,14136
4699,M,56,13,13407
2428,F,50,0,48103
1513,M,25,12,90717
2603,M,35,11,96813
151,F,25,0,85207
3803,M,35,12,98103
4852,M,18,4,76401
1605,F,18,1,04240
446,M,25,12,94114
2343,F,50,6,97330
1188,M,18,4,76401
276,M,18,0,73505
5152,M,50,17,14650
3169,F,18,4,01002
497,M,35,7,90808
5812,F,56,1,44074
3885,F,35,8,85712
2426,M,25,4,48065
1982,M,35,20,78664
4313,M,35,7,17740
5845,M,25,0,37042
4152,M,18,0,92647
50,M,25,20,85207
1957,M,25,18,80521
1054,M,25,0,95136
1314,M,35,7,79912
388,M,18,4,76013
2878,M,18,0,53715
437,M,18,4,98188
5137,M,25,11,90211
1804,M,18,2,90211
5298,M,1,0,75070
1730,M,18,0,55129
133,F,35,9,97520
3920,M,25,12,55106
5574,M,25,12,98027
1862,M,50,13,90266
3133,M,56,11,08904
3321,F,25,9,77449
1109,M,35,11,94061
1965,M,25,6,11598
2288,M,35,12,85284
4113,M,25,0,10580
167,M,45,3,55410
2120,M,25,7,07030
2375,M,35,16,30034
4552,M,25,7,90078
505,M,25,14,04240
2545,M,18,12,07070
1370,M,1,19,53711
5401,M,18,17,99205
2156,M,35,12,55803
4572,M,25,14,24551
3791,M,25,5,44095
4425,M,18,0,54758
2205,F,1,2,60660
1157,M,25,17,77007
6016,M,1,10,90004
1065,F,18,19,95019
5097,M,18,4,98606
3312,M,25,0,60098
428,M,35,18,56303
3801,F,35,9,13066
5575,F,25,17,97201
165,F,25,3,97401
1211,M,1,10,42754
2006,M,35,7,38024
2182,F,35,0,94002
4937,M,35,0,90064
451,M,25,12,97401
5096,M,35,7,19518
2939,F,56,3,89156
3612,M,56,15,94114
5746,M,18,7,99945
4473,M,1,10,63041
5584,M,18,10,02882
2112,M,18,20,85296
517,M,25,17,74467
4151,F,25,7,95128
1618,M,25,12,45241
4110,M,25,12,17067
3479,M,45,17,02421
269,M,18,4,98499
5259,F,50,1,75087
3065,M,18,12,89118
4252,M,25,6,48108
1376,M,18,4,22903
5582,M,1,17,56258
2865,F,25,3,92627
690,M,18,19,87543
1917,M,18,17,32694
4391,M,25,0,60156
298,M,25,17,91776
1708,M,18,4,95076
5646,M,56,1,28223
2507,M,25,4,53703
5320,M,18,0,11040
3208,M,18,19,29307
3667,M,25,0,55987
2658,M,18,4,77802
1587,M,25,0,37601
3249,M,18,1,67212
5524,M,25,17,45694
697,M,35,7,27511
3040,M,25,17,01002
2068,F,35,14,37043
4509,M,50,20,10543
2239,F,35,14,19147
606,M,50,6,98237
3086,F,50,7,20175
1228,F,25,20,48464
4806,F,25,5,98498
1303,F,35,12,72032
935,F,25,20,95776
236,M,25,16,22801
3972,M,18,4,67217
4988,M,25,20,90032
3551,M,35,12,37211
3530,M,35,0,34990
4880,M,18,4,89015
1317,M,25,7,85226
2951,M,25,17,70508
2300,M,25,12,98006
3552,M,50,0,94043
3123,M,25,6,37930
3845,M,18,4,70002
4892,F,18,4,92612
5246,M,25,4,37130
1530,M,45,0,92108
482,M,18,4,41076
1866,M,18,4,60107
4215,M,35,7,60611
3020,M,35,7,78759
6015,M,18,2,14456
928,F,25,1,07666
2295,M,25,0,92078
847,M,35,12,94530
4537,M,56,1,39532
5245,F,35,1,80210
5712,M,45,2,55409
2757,M,18,4,70817
2023,M,1,19,53711
1788,M,35,7,60657
3756,F,45,0,20874
1835,M,18,2,19464
5810,M,35,7,46825
4046,F,35,12,78640
5989,M,56,0,94952
5028,M,25,11,10023
3674,M,56,7,08540
1607,M,50,17,92661
67,M,25,0,98103
1092,F,25,3,02828
5309,F,50,14,92119
4720,F,18,0,55102
2275,M,25,7,49321
3450,M,25,0,92121
4163,F,18,0,20009
1103,M,25,5,80209
3847,F,25,7,80228
3962,M,25,15,94121
2667,M,25,3,75006
260,M,35,0,60640
3358,M,18,4,75287
4770,M,25,5,92105
2482,M,25,17,55447
456,F,25,16,44092
175,F,18,2,72701
4271,F,45,6,02453
3357,M,35,17,11701
1445,M,35,14,10013
2093,M,25,12,10128
4894,M,18,0,78237
3245,M,25,7,37027
2456,M,35,7,10019
3703,M,25,7,62522
2136,F,25,0,97205
4485,M,35,1,91711
5047,M,1,10,08820
4594,M,45,12,95814
3175,M,50,17,01702-7224
90,M,18,20,92026
4902,F,25,1,02144
4365,M,1,10,76013
2655,M,50,1,20815
1590,M,56,6,19027
5361,M,45,15,26105
3212,M,1,10,94707
2552,M,25,4,43202
227,M,25,0,90631
4260,M,18,2,01720
4631,M,45,16,92018
2874,M,35,17,94114
160,M,18,14,76401
3382,M,18,2,01720
4949,F,35,14,92673
2928,M,1,10,49454
3625,M,35,0,48105
4773,F,56,0,14830
2864,F,56,16,55345
3526,F,1,10,08820
22,M,45,20,10024
1285,M,18,4,92153
1464,M,25,1,80202
4948,M,35,0,76031
2836,F,50,6,85016
3381,M,18,4,31602
3698,M,50,1,34683
3529,M,18,15,94015
1693,M,25,6,92130
5528,M,25,7,77005
848,F,25,1,30605
5668,F,56,13,90066
5115,F,56,0,92027
5370,M,56,0,45432
3442,M,56,13,75165
1323,M,35,20,92308
2423,F,45,12,28655
5982,M,1,10,71106
5704,F,45,6,92117
5145,F,50,1,92103
3500,M,45,7,92831
1976,F,50,0,98226
240,M,50,0,98226
4417,F,35,2,91324
4823,M,25,0,20744-6223
3675,F,35,9,30338
3348,M,25,7,72762
4004,F,25,1,92084
5140,M,50,6,92117
2672,F,45,1,91901
673,F,35,1,92056
3628,M,18,4,92173
1887,M,25,17,92084
843,M,56,16,48009
4483,M,25,7,37212
1326,M,50,17,98642
3869,F,35,3,48073
2528,M,1,10,07869
1850,F,25,20,91105
1254,F,56,16,98199
701,M,25,15,53706
3347,M,25,5,98380
1814,F,56,1,06032
5895,F,35,6,97838
3849,M,45,1,49419
543,F,35,7,97401
546,M,35,14,60538
3034,M,18,4,34567
758,M,25,15,60513
5114,F,25,1,01060
1780,F,25,20,20110-5616
2806,M,1,10,76240
6033,M,18,20,45387
5409,F,50,6,85716
3088,F,45,12,08033
4415,M,35,0,91505
1779,M,45,7,49345
4832,M,35,7,48103-8929
6017,M,18,0,21015
343,M,56,12,43056
553,M,50,17,96753
4630,M,35,7,21044
5684,M,45,2,10009
1740,M,56,16,97478
1442,M,50,20,97030
2313,F,25,0,21030
764,F,50,7,94941
2486,M,35,1,55104
640,M,35,1,29706
1916,M,35,2,48116
2890,M,50,11,44622
2280,M,1,10,45244
4148,M,18,10,10016
4043,F,25,1,80020
503,M,25,0,48197
3391,M,25,7,94123
3284,M,56,7,10954
2047,M,56,2,92262
3059,F,18,0,43615
3706,M,50,12,94530
5484,F,25,11,19103
433,M,25,0,27615
1463,M,25,12,43615
5229,M,45,1,02138
1546,F,25,1,80026
3915,M,35,19,94930
611,M,35,0,98136
3959,M,35,14,89113
1185,M,25,2,80110
4557,M,18,0,19116
3392,M,1,10,48073
2703,M,25,6,92014
1497,M,25,20,02141
3961,F,25,9,92064
3257,F,25,16,99224
132,M,50,16,92129
1863,M,25,4,32608
5683,F,56,0,19004
1579,F,35,17,48098
3498,M,50,11,48823
4269,M,50,0,20706
2877,M,18,6,10004
3700,F,25,9,48103
5486,F,35,3,02780
4214,M,25,0,45678
4524,M,18,2,92109
4161,F,18,4,96803
796,M,25,17,98102
5050,M,1,19,15748
2132,M,45,20,10019
671,M,25,15,62558
2994,F,25,6,90027
709,M,25,4,90210
3569,M,50,11,07043
5061,M,25,2,19320
548,M,25,3,95136
3008,M,35,11,08003
5015,M,18,4,53220
4855,M,50,12,01960
4063,M,35,3,77064
4138,M,50,7,48315
263,M,25,0,10310
4886,M,25,8,92115
4393,F,35,1,30004
4321,M,56,13,02576
4985,F,45,17,03054
5,M,35,3,11220
1898,M,56,16,60044
393,M,35,0,30906
2274,M,18,4,95616
128,M,35,1,60640
2936,M,18,20,93455
2076,M,35,0,94559
2319,M,25,3,00918
4457,M,56,13,92675
4587,F,35,1,74135
5228,M,25,16,34677
4366,F,45,0,19130
4272,M,18,4,77005
3798,F,45,7,03848
1406,M,25,0,20015
1798,M,25,7,97303
1797,M,35,16,19803
2671,M,50,16,19425
1870,M,25,5,60076
777,F,35,1,82601
3287,M,18,2,15956
4065,M,35,7,28036
4801,M,45,7,02081
2103,F,56,15,20194
5974,F,35,1,02346
943,M,25,11,76309
2968,M,45,2,94306
5329,M,35,5,92801
4871,F,50,11,87004
1991,M,25,20,72701
4924,F,1,10,77477
5217,M,56,18,53404-1230
3223,M,18,0,62225
4380,M,35,6,75225
4930,M,45,14,95002
438,M,25,1,97302
109,F,25,0,60513
3490,F,35,2,75214
883,M,35,0,18360
2418,M,1,10,75040
3668,M,35,0,91505
3741,M,1,0,48133
1657,M,45,17,73069
577,M,25,1,97321
555,F,25,0,97213
3708,M,18,10,11235
4188,M,45,0,46060
1355,M,50,19,59457
2755,M,35,7,50265
2770,M,25,7,91344
2965,F,25,0,94402
2670,M,45,12,02151
2789,M,35,12,94402
181,F,18,4,77581
604,M,25,20,98105
5987,F,45,2,20036
2051,M,50,16,13045
2580,F,35,7,07601
2398,F,25,6,72211
1719,M,45,17,48073
4424,F,25,6,60660
5108,F,25,3,27606
766,M,25,3,60660
2263,F,45,9,95661
2733,M,25,7,98115
4350,M,56,7,08854
4920,M,18,4,68144-2410
3796,M,45,7,48170
5988,M,56,0,27705
2031,M,1,19,03226
4941,M,25,7,34695
818,M,18,4,98225
586,M,25,16,08826
20,F,1,10,98103
3264,M,35,6,37853
3492,M,25,7,94105
5508,M,18,5,345567
4178,F,18,4,49525
3673,M,50,14,60504
1822,F,18,0,92626
4873,F,56,6,08753
1980,M,1,10,80439
1995,M,18,17,92109
5088,M,35,7,94945
1882,M,25,17,77059
1276,M,25,0,60090
431,M,35,1,06417
6037,M,18,1,55408
3955,F,45,7,60605
3976,M,35,11,10023
1848,M,35,6,48105
3841,M,18,4,90241
3267,F,50,1,02324
4319,M,56,1,93003
1947,M,18,10,45904
4023,F,56,6,77005
5085,F,50,16,44319
224,M,18,6,19104
715,M,18,4,97215
2700,F,18,9,75801
3179,F,25,1,60551
2054,M,25,15,92121
92,M,18,14,10017
5284,M,50,13,02718
492,M,35,1,90504
103,M,18,4,95616
853,M,56,7,78701
2815,M,56,14,02632
5293,M,50,0,91789
541,M,25,2,60156
316,F,18,4,53715
5799,M,56,16,13031
2846,M,25,0,11788
442,M,25,1,72701
2548,M,35,17,22309
1012,M,18,7,60012
2549,M,56,13,12570
1692,M,18,12,98225
2172,M,18,2,90038
1922,M,18,20,19114
1714,M,50,13,98201
4253,F,35,7,90274
247,M,18,4,13165
3371,M,18,12,12047
1548,M,25,1,93420-2852
554,F,45,2,73069
653,F,25,3,84770
1258,M,18,1,43623
3901,M,50,7,94024
5796,M,25,7,94025
4396,M,50,3,92103
1112,F,18,16,80260
921,M,25,20,98101
4185,M,35,17,92618
3438,M,25,12,98103
98,F,25,20,75226
887,M,25,15,46805
3315,M,18,4,30328
4291,M,18,10,33024
5887,F,1,10,53545
1973,M,25,12,90278
3325,F,50,2,33334
5625,M,45,7,30253
3851,F,35,1,98026
3411,M,18,0,48314
2993,M,18,14,07017
2924,M,25,0,10025
1789,F,35,0,97213
3650,M,1,10,70448
453,F,25,19,90020
2209,M,25,12,45014
5680,M,56,6,94030
3475,F,50,1,55126
1220,F,25,0,94109
3720,M,25,20,94402
1020,M,56,3,10023
5283,M,45,12,94114
488,F,25,0,61801
737,F,25,7,10019
5761,F,18,16,91780
3322,F,25,2,90020
